STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
11;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Khi dữ liệu cá nhân không chính xác, chủ thể dữ liệu có quyền gì theo quy định của pháp luật về bảo vệ dữ liệu cá nhân;Không có quyền gì;Yêu cầu xóa bỏ toàn bộ hệ thống;Quyền yêu cầu chỉnh sửa dữ liệu của mình;Yêu cầu bồi thường gấp đôi số dư;C;Luật bảo vệ dữ liệu cá nhân 2025;Điều 13;;;;;;;;;;;;;;;
12;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Việc thu thập, lưu giữ hồ sơ mở tài khoản thanh toán phải đáp ứng yêu cầu nào sau đây;Bao gồm cả 3 đáp án B, C, D;Các tài liệu là văn bản giấy trong hồ sơ mở tài khoản thanh toán phải là bản chính hoặc bản sao được chứng thực hoặc bản sao cấp từ sổ gốc hoặc bản sao kèm bản chính để đối chiếu phù hợp với quy định của pháp luật về cấp bản sao từ sổ gốc, chứng thực bản sao từ bản chính, chứng thực chữ ký và chứng thực hợp đồng, giao dịch;"Đối với các tài liệu, thông tin, dữ liệu trong hồ sơ mở tài khoản thanh toán là dữ liệu điện tử, ngân hàng, chi nhánh ngân hàng nước ngoài phải kiểm tra, đối chiếu, xác thực đảm bảo nội dung đầy đủ, chính xác và lưu trữ theo đúng quy định pháp luật về giao dịch điện tử;";Đối với trường hợp xuất trình bản chính để đối chiếu, ngân hàng, chi nhánh ngân hàng nước ngoài phải xác nhận vào bản sao và chịu trách nhiệm về tính chính xác của bản sao so với bản chính.;A;Thông tư 17/2024/TT-NHNN (sửa đổi bởi Thông tư 25/2025/TT-NHNN);Điều 12.6;;;;;;;;;;;;;;;
13;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Trong hoạt động của ngân hàng, dữ liệu nào sau đây là dữ liệu cá nhân nhạy cảm ?;Số định danh cá nhân;Tên chi nhánh giao dịch;Địa chỉ email;Tên đăng nhập của tài khoản ngân hàng;D;Nghị định 356/2025/NĐ-CP;Điều 4;;;;;;;;;;;;;;;
14;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Ngân hàng, chi nhánh ngân hàng nước ngoài tự quyết định biện pháp, hình thức, công nghệ phục vụ việc mở tài khoản thanh toán bằng phương tiện điện tử, tự chịu rủi ro phát sinh (nếu có) và phải đáp ứng các yêu cầu nào sau đây?;"Biện pháp, hình thức, công nghệ được ngân hàng, chi nhánh ngân hàng nước ngoài lựa chọn phải đảm bảo tiêu chuẩn về an ninh, an toàn, bảo mật theo quy định của Ngân hàng Nhà nước;";Xác nhận việc khách hàng chấp thuận với các nội dung tại thỏa thuận mở và sử dụng tài khoản thanh toán;Ngân hàng, chi nhánh ngân hàng nước ngoài phải thường xuyên kiểm tra, đánh giá mức độ an toàn, bảo mật của biện pháp, hình thức, công nghệ và thực hiện tạm dừng cung cấp dịch vụ để nâng cấp, chỉnh sửa, hoàn thiện trong trường hợp có dấu hiệu mất an toàn.;Đáp ứng cả 3 nội dung A, B, C;D;Thông tư 17/2024/TT-NHNN (sửa đổi bởi Thông tư 25/2025/TT-NHNN);Điều 16;;;;;;;;;;;;;;;
15;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Theo Luật Dữ Liệu 2024 (60/2024/QH15), ngân hàng bắt buộc phải thực hiện phân loại dữ liệu theo tiêu chí nào:;Phân loại theo tính chất quan trọng của dữ liệu gồm: dữ liệu cốt lõi, dữ liệu quan trọng, dữ liệu khác;Phân loại theo tiêu chí khác đáp ứng yêu cầu quản trị, xử lý, bảo vệ dữ liệu do chủ quản dữ liệu quyết định.;Chỉ cơ quan quản lý nhà nước mới cần phân loại dữ liệu;Cả A và B đều đúng;D;Luật Dữ liệu;Điều 13;;;;;;;;;;;;;;;
16;I.4.Chia sẻ, kết nối dữ liệu liên ngành;I.4;"Khái niệm ""Kết nối, chia sẻ dữ liệu bắt buộc"" theo Nghị định 278/2025/NĐ-CP được định nghĩa như thế nào?";Là việc thiết lập kết nối kỹ thuật bắt buộc giữa các hệ thống thông tin, cơ sở dữ liệu trong hệ thống chính trị nhằm chia sẻ, khai thác và sử dụng dữ liệu đã được phân quyền theo quy định, không phụ thuộc vào thỏa thuận riêng giữa các cơ quan, tổ chức;Là việc chia sẻ dữ liệu dựa trên hợp đồng kinh tế giữa hai bên;Là việc chia sẻ dữ liệu chỉ khi có yêu cầu bằng văn bản của cấp trên;Là việc các cơ quan tự nguyện đóng góp dữ liệu vào kho dùng chung;A;Nghị định 278/2025/NĐ-CP;Điều 3, Khoản 5;;;;;;;;;;;;;;;
17;I.4.Chia sẻ, kết nối dữ liệu liên ngành;I.4;Theo quy định tại Nghị định 278/2025/NĐ-CP, việc tích hợp, đồng bộ và sử dụng dữ liệu chủ quốc gia là bắt buộc đối với các cơ quan, tổ chức trong hệ thống chính trị khi nào?;Chỉ khi có sự đồng ý của Bộ Thông tin và Truyền thông;Chỉ khi xây dựng hệ thống mới từ ngân sách trung ương;Khi thực hiện các giao dịch dân sự với doanh nghiệp;Khi xây dựng, cập nhật hoặc vận hành cơ sở dữ liệu, hệ thống thông tin;D;Nghị định 278/2025/NĐ-CP;Điều 5, Khoản 1;;;;;;;;;;;;;;;
18;I.4.Chia sẻ, kết nối dữ liệu liên ngành;I.4;Theo quy định tại Nghị định 278/2025/NĐ-CP thì thời hạn muộn nhất để thực hiện việc kết nối, chia sẻ dữ liệu bắt buộc giữa các cơ quan trong hệ thống chính trị thực hiện thống nhất qua Nền tảng chia sẻ, điều phối dữ liệu là khi nào?;Ngày 31 tháng 12 năm 2026;Ngày 31 tháng 12 năm 2025;Ngày 01 tháng 01 năm 2026;Ngày 30 tháng 06 năm 2027;A;Nghị định 278/2025/NĐ-CP;Điều 24, Khoản 3;;;;;;;;;;;;;;;
19;I.4.Chia sẻ, kết nối dữ liệu liên ngành;I.4;Theo quy định tại Nghị định 278/2025/NĐ-CP, cơ quan nào có trách nhiệm chủ trì thực hiện hoạt động kiểm toán dữ liệu định kỳ, đột xuất đối với dữ liệu của các bộ, ngành, địa phương?;Kiểm toán nhà nước;Bộ Công an;Bộ Thông tin và Truyền thông;Văn phòng Chính phủ;B;Nghị định 278/2025/NĐ-CP;Điều 14, Khoản 4;;;;;;;;;;;;;;;
20;I.4.Chia sẻ, kết nối dữ liệu liên ngành;I.4;Theo quy định tại Nghị định 278/2025/NĐ-CP, hệ thống tài liệu và công cụ kỹ thuật định nghĩa thống nhất tên gọi, định dạng, cách sử dụng của các trường dữ liệu dùng chung được gọi là gì?;Khung kiến trúc dữ liệu quốc gia;Khung quản trị dữ liệu quốc gia;Từ điển dữ liệu dùng chung;Danh mục dữ liệu chủ quốc gia;C;Nghị định 278/2025/NĐ-CP;Điều 3, Khoản 2;;;;;;;;;;;;;;;
21;I.4.Chia sẻ, kết nối dữ liệu liên ngành;I.4;Theo quy định tại Nghị định 278/2025/NĐ-CP, hoạt động kết nối, chia sẻ dữ liệu bắt buộc giữa các cơ quan trong hệ thống chính trị phải tuân theo nguyên tắc giám sát nào?;Giám sát bí mật để đảm bảo an ninh;"Giám sát liên tục, công khai và có truy vết; Thực hiện thông qua hệ thống kỹ thuật và cơ chế quản lý do cơ quan nhà nước có thẩm quyền quy định; Việc xử lý vi phạm phải bảo đảm khách quan, minh bạch, đúng thẩm quyền và tương xứng với tính chất, mức độ vi phạm";Giám sát định kỳ 01 lần/năm;Chỉ giám sát khi có sự cố kỹ thuật xảy ra;B;Nghị định 278/2025/NĐ-CP;Điều 13, Khoản 1;;;;;;;;;;;;;;;
22;I.4.Chia sẻ, kết nối dữ liệu liên ngành;;Theo Nghị định 278/2025/NĐ-CP, cơ quan nào chịu trách nhiệm chủ trì hướng dẫn kỹ thuật và kiểm soát tính thống nhất của dữ liệu chủ chuyên ngành trên toàn hệ thống?;Bộ Thông tin và Truyền thông.;Ban Cơ yếu Chính phủ;Bộ Công an;Văn phòng Chính phủ.;C;Nghị định 278/2025/NĐ-CP;Điều 6 khoản 3;;;;;;;;;;;;;;;
23;I.5.Dữ liệu mở (Open Data);I.5;Theo luật 60/2024/QH15, dữ liệu mở là gì?;Dữ liệu mà mọi cơ quan, tổ chức, cá nhân có nhu cầu đều được tiếp cận, chia sẻ, khai thác, sử dụng.;Dữ liệu được tạo lập trong quá trình hoạt động của cơ quan, tổ chức, cá nhân hoặc thu thập, tạo lập từ số hóa bản chính giấy tờ, tài liệu, các dạng vật chất khác.;Dữ liệu được tiếp cận, chia sẻ, khai thác, sử dụng chung trong các cơ quan Đảng, Nhà nước, Ủy ban Mặt trận Tổ quốc Việt Nam và các tổ chức chính trị - xã hội.;Dữ liệu nội bộ;A;Luật số: 60/2024/QH15;Điều 3.4;;;;;;;;;;;;;;;
24;I.5.Dữ liệu mở (Open Data);I.5;Hành vi nào sau đây là hành vi bị nghiêm cấm theo Luật Dữ liệu là gì?;Công khai dữ liệu mở theo đúng danh mục.;Chia sẻ dữ liệu giữa các cơ quan chuyên ngành.;Giả mạo, cố ý làm sai lệch dữ liệu;Sử dụng dữ liệu mở để nghiên cứu khoa học.;C;Luật số: 60/2024/QH15;Điều 10;;;;;;;;;;;;;;;
25;I.5.Dữ liệu mở (Open Data);I.5;Đâu là nguyên tắc bảo đảm việc kết nối và chia sẻ dữ liệu giữa các cơ quan Theo Nghị định 278/2025/NĐ-CP?;"Thực hiện kịp thời, đầy đủ, đúng mục đích; bảo đảm an toàn, bảo mật và đúng phạm vi chức năng, nhiệm vụ, quyền hạn.";Ưu tiên tính công khai tuyệt đối, cho phép mọi cá nhân và tổ chức tự do khai thác không giới hạn phạm vi.;Chỉ thực hiện kết nối khi có yêu cầu bằng văn bản giấy và đã hoàn thành việc nộp phí chia sẻ dữ liệu.;Tập trung tối đa vào tốc độ truyền tải dữ liệu mà không cần xem xét đến mục đích hoặc chức năng của đơn vị tiếp nhận.;A;Nghị định 278/2025/NĐ-CP;Điều 4.1;;;;;;;;;;;;;;;
26;I.5.Dữ liệu mở (Open Data);I.5;Đâu là nguyên tắc phải tuân thủ trong việc kết nối và chia sẻ dữ liệu bắt buộc Theo Nghị định 278/2025/NĐ-CP?;Quy chuẩn kỹ thuật riêng của từng địa phương và các điều khoản trong hợp đồng kinh tế giữa các bên.;Khung kiến trúc dữ liệu quốc gia, Khung quản trị, quản lý dữ liệu quốc gia và Từ điển dữ liệu dùng chung.;Các tiêu chuẩn quốc tế về dữ liệu mở mà không cần đối chiếu với hệ thống định nghĩa dữ liệu trong nước.;Chỉ cần tuân thủ quy chế quản lý nội bộ của cơ quan cung cấp dữ liệu và văn bản thỏa thuận kết nối.;B;Nghị định 278/2025/NĐ-CP;Điều 4.4;;;;;;;;;;;;;;;
27;I.5.Dữ liệu mở (Open Data);I.5;Theo Nghị định 278/2025/NĐ-CP, việc chia sẻ dữ liệu phục vụ quản lý nhà nước và dịch vụ công được quy định về chi phí như thế nào?;Được thu phí để bù đắp chi phí vận hành hệ thống hạ tầng công nghệ thông tin.;Phải thực hiện thu phí theo biểu giá thống nhất của Bộ Tài chính đối với mọi đối tượng.;Không được thu phí dưới bất kỳ hình thức nào (trừ trường hợp pháp luật có quy định khác).;Chỉ miễn phí cho các cơ quan trung ương, còn các địa phương phải trả phí kết nối.;C;Nghị định 278/2025/NĐ-CP;Điều 16;;;;;;;;;;;;;;;
28;I.5.Dữ liệu mở (Open Data);I.5;Theo luật dữ liệu 60/2024/QH15, việc phân loại dữ liệu theo tính chất chia sẻ dữ liệu bao gồm những loại dữ liệu nào?;Dữ liệu dùng chung, dữ liệu dùng riêng, dữ liệu mở;Dữ liệu cốt lõi, dữ liệu quan trọng, dữ liệu khác;Dữ liệu mở, dữ liệu cốt lõi, dữ liệu dùng riêng;Dữ liệu cốt lõi, dữ liệu mở, dữ liệu khác;A;Luật số: 60/2024/QH15;Điều 13.1;;;;;;;;;;;;;;;
29;I.5.Dữ liệu mở (Open Data);I.5;Theo Luật Dữ liệu 2024, quy định những hình thức công khai dữ liệu nào?;Hình thức công khai dữ liệu, bao gồm: đăng tải dữ liệu trên cổng dữ liệu, cổng thông tin điện tử, trang thông tin điện tử, phương tiện thông tin đại chúng và các hình thức khác theo quy định của pháp luật.;Chỉ công khai trên Cổng thông tin điện tử của đơn vị;Chỉ công bố trên các phương tiện thông tin đại chúng;Chỉ công khai trên Cổng dữ liệu;A;Luật số: 60/2024/QH15;Điều 21.4;;;;;;;;;;;;;;;
30;I.6.Vòng đời dữ liệu khách hàng ;I.6;Thời gian lưu trữ hồ sơ mở tài khoản thanh toán được xác định theo quy định nào?;Thông tư 17/2024/TT-NHNN quy định về việc mở và sử dụng tài khoản thanh toán tại các tổ chức cung ứng dịch vụ thanh toán;Thông tư 04/2025/TT-NHNN quy định thời hạn lưu trữ hồ sơ, tài liệu ngành ngân hàng;Đến khi nhân viên ngân hàng nghỉ việc;Theo quy định nội bộ của từng ngân hàng;B;Thông tư 04/2025/TT-NHNN quy định thời hạn lưu trữ hồ sơ, tài liệu ngành ngân hàng;;;;;;;;;;;;;;;;
31;I.6.Vòng đời dữ liệu khách hàng ;I.6;Theo Luật bảo vệ dữ liệu cá nhân, sự đồng ý của chủ thể dữ liệu cá nhân có thể được thể hiện bằng cách nào sau đây ?;Sự đồng ý của chủ thể dữ liệu cá nhân được thể hiện bằng im lặng;Sự đồng ý của chủ thể dữ liệu cá nhân được thể hiện bằng phương thức rõ ràng, cụ thể, có thể in, sao chép bằng văn bản, bao gồm cả dưới dạng điện tử hoặc định dạng kiểm chứng được.;Chỉ cần thông báo, không cần đồng ý;Cả ba đáp án đều sai;B;Luật bảo vệ dữ liệu cá nhân 2025;Điều 09;;;;;;;;;;;;;;;
32;I.6.Vòng đời dữ liệu khách hàng ;I.6;Theo Nghị định 356/2025/NĐ-CP, nội dung nào sau đây thuộc những nội dung xác lập thỏa thuận về việc chuyển giao dữ liệu cá nhân với bên nhận dữ liệu cá nhân?;Chỉ cần nêu rõ thông tin về số tài khoản ngân hàng và lịch sử giao dịch của các bên.;"Mục đích chuyển giao dữ liệu cá nhân; Đối tượng chủ thể dữ liệu cá nhân và loại dữ liệu cá nhân được chuyển giao phù hợp với mục đích chuyển giao; Thời hạn xử lý dữ liệu cá nhân, yêu cầu về xóa, hủy dữ liệu cá nhân sau khi hoàn thành mục đích chuyển giao";Chỉ cần cam kết không để lộ thông tin cho các cơ quan báo chí và truyền thông đại chúng.;Phải nêu rõ danh sách tất cả các nhân viên tham gia vào quá trình vận hành hệ thống máy chủ.;B;Nghị định 356/2025/NĐ-CP;Điều 7;;;;;;;;;;;;;;;
33;I.6.Vòng đời dữ liệu khách hàng ;I.6;Theo Luật bảo vệ dữ liệu cá nhân, căn cứ nào để Ngân hàng tiến hành cung cấp dữ liệu cá nhân cho bên thứ ba?;Sự đồng ý của khách hàng;Không cần căn cứ;Theo quy định của pháp luật;Cả A và C đều đúng;D;Luật bảo vệ dữ liệu cá nhân;Điều 9, Điều 19, Điều 15;;;;;;;;;;;;;;;
34;I.6.Vòng đời dữ liệu khách hàng ;I.6;Theo Luật bảo vệ dữ liệu cá nhân 2025, nguyên tắc nào sau đây đúng theo quy định về bảo vệ dữ liệu cá nhân?;Lưu trữ vĩnh viễn;Chỉ được thu thập, xử lý dữ liệu cá nhân đúng phạm vi, mục đích cụ thể, rõ ràng, bảo đảm tuân thủ quy định của pháp luật;Thu thập càng nhiều càng tốt;Thu thập 1 lần và không được thay đổi;B;Luật bảo vệ dữ liệu cá nhân 2025;Điều 3 Khoản 2;;;;;;;;;;;;;;;
35;I.6.Vòng đời dữ liệu khách hàng ;I.6;"Theo Luật bảo vệ dữ liệu cá nhân 2025 ""sự đồng ý của chủ thể dữ liệu"" chỉ có hiệu lực khi chủ thể biết rõ những thông tin nào?";Loại dữ liệu cá nhân được xử lý, mục đích xử lý dữ liệu cá nhân;Bên kiểm soát dữ liệu cá nhân hoặc bên kiểm soát và xử lý dữ liệu cá nhân;Các quyền, nghĩa vụ của chủ thể dữ liệu cá nhân;Chủ thể phải biết rõ cả 3 nội dung tại A, B, C;D;Luật bảo vệ dữ liệu cá nhân 2025;Điều 9;;;;;;;;;;;;;;;
36;I.6.Vòng đời dữ liệu khách hàng ;I.6;Hành vi nào sau đây bị nghiêm cấm theo Luật bảo vệ dữ liệu cá nhân ?;Thu thập thông tin CCCD để thực hiện KYC theo quy định pháp luật;Sử dụng dữ liệu cá nhân đúng mục đích đã thông báo cho khách hàng;Mua bán, trao đổi dữ liệu cá nhân của khách hàng trái quy định pháp luật;Lưu trữ dữ liệu của khách hàng trong hệ thống đúng quy định;C;Luật bảo vệ dữ liệu cá nhân 2025;Điều 7;;;;;;;;;;;;;;;
37;I.6.Vòng đời dữ liệu khách hàng ;I.6;Theo Luật bảo vệ dữ liệu cá nhân, dữ liệu cá nhân là gì ?;Dữ liệu về tài chính;Dữ liệu xác định hoặc giúp xác định về một con người cụ thể;Dữ liệu ẩn danh;Dữ liệu nội bộ tổ chức;B;Luật bảo vệ dữ liệu cá nhân 2025;Điều 2;;;;;;;;;;;;;;;
38;I.6.Vòng đời dữ liệu khách hàng ;I.6;Theo Luật bảo vệ dữ liệu cá nhân, khi tổ chức muốn chuyển dữ liệu cá nhân ra nước ngoài thì phải thực hiện thủ tục nào sau đây?;Nộp hồ sơ đánh giá tác động chuyển dữ liệu cá nhân xuyên biên giới tới cơ quan nhà nước có thẩm quyền;Chỉ cần gửi email thông báo tới cơ quan nhà nước có thẩm quyền;Chỉ cần lập và lưu trữ biên bản họp Hội đồng quản trị;Không cần bất cứ thủ tục nào;A;Luật bảo vệ dữ liệu cá nhân 2025;Điều 20, khoản 2;;;;;;;;;;;;;;;
39;I.7.Khai thác dữ liệu phục vụ QTRR, kinh doanh ;I.7;Chiến lược dữ liệu ngành Ngân hàng đến năm 2030 được phê duyệt tại quyết định nào?;Quyết định số 3579/QĐ-NHNN.;Quyết định số 3580/QĐ-NHNN.;Quyết định số 749/QĐ-TTg.;Quyết định số 06/QĐ-TTg.;B;Quyết định số 3580/QĐ-NHNN ngày 03/11/2025 của Thống đốc NHNN.;;;;;;;;;;;;;;;;
40;I.7.Khai thác dữ liệu phục vụ QTRR, kinh doanh ;I.7;Theo Nghị quyết 57-NQ/TW, đến năm 2030, mục tiêu về xây dựng, kết nối, chia sẻ đồng bộ cơ sở dữ liệu quốc gia, cơ sở dữ liệu các ngành là gì?;Chỉ kết nối trong nội bộ các bộ;Ngừng chia sẻ dữ liệu liên ngành;Hoàn thành xây dựng, kết nối, chia sẻ đồng bộ cơ sở dữ liệu quốc gia, cơ sở dữ liệu các ngành;Hoàn thành xây dựng cơ sở dữ liệu quốc gia;C;Nghị quyết số 57-NQ/TW;;;;;;;;;;;;;;;;
41;I.7.Khai thác dữ liệu phục vụ QTRR, kinh doanh ;I.7;Theo Nghị quyết 57-NQ/TW, đến năm 2030, quy mô kinh tế số phải đạt tối thiểu bao nhiêu phần trăm GDP?;10%;20%;30%;50%;C;Nghị quyết 57‑NQ/TW;;;;;;;;;;;;;;;;
42;I.8.Tài sản số;I.8;Theo Nghị quyết số 05/2025/NQ-CP, thời gian thực hiện thí điểm thị trường tài sản mã hóa theo Nghị quyết này là bao lâu?;2 năm;3 năm;4 năm;5 năm;D;Nghị quyết số 05/2025/NQ-CP;Chương VI. Điều 18, Khoản 2;;;;;;;;;;;;;;;
43;I.8.Tài sản số;I.8;Theo Luật Công nghiệp công nghệ số 71/2025/QH15, tài sản số được phân loại theo một hoặc một số tiêu chí nào sau đây?;Mục đích sử dụng;Công nghệ;Tiêu chí khác;Tất cả đáp án A,B,C đều đúng;D;Luật Công nghiệp công nghệ số 71/2025/QH15;Chương V, Điều 47, Khoản 1;;;;;;;;;;;;;;;
44;I.8.Tài sản số;I.8;Theo Luật Công nghiệp công nghệ số 71/2025/QH15, Tài sản số bao gồm các tài sản nào sau đây?;Tài sản ảo và tài sản mã hóa được tạo lập trên môi trường số;Tài sản số bao gồm tài sản ảo, tài sản mã hóa theo quy định và tài sản số khác;Chỉ bao gồm tài sản mã hóa được xác thực bằng công nghệ blockchain;Bao gồm toàn bộ dữ liệu phát sinh trong hệ thống thông tin;B;Luật Công nghiệp công nghệ số 71/2025/QH15;Chương V, Điều 47, Khoản 2;;;;;;;;;;;;;;;
